0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:29:05 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:29:08 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:29:14 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:29:26 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:29:33 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:30:12 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:31:19 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:31:36 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:32:55 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:33:16 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:33:21 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:34:03 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:36:57 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:43:03 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [07/Sep/2022:10:50:40 +0900] "GET /study/htmlEx/ch03/ex10.html HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:12:17 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:12:26 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:16:13 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:40:37 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:40:53 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:41:26 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:41:37 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:47:37 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:49:19 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:49:33 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:52:00 +0900] "GET /study/htmlEx/ch04/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:11:52:16 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [07/Sep/2022:12:08:38 +0900] "GET /study/htmlEx/ch04/ex02.html HTTP/1.1" 200 1655
